Title,Subject Description,Course Number,Section,Hours,CRN,Term,Instructor,Campus,Status,Schedule Type,Attribute
Infosec Labs: Defenses,Computer Science,6264,OCY,3,87919,Fall 2026,"Lee, Wenke (Primary)",Online,"20 of 75 seats remain.
75 of 75 waitlist seats remain.",Lecture*,
Info Sec Lab Binexp,Computer Science,6265,OCY,3,86082,Fall 2026,"Kim, Taesoo (Primary)",Online,"70 of 100 seats remain.
75 of 75 waitlist seats remain.",Lecture*,
Software Dev Process,Computer Science,6300,OCY,3,86058,Fall 2026,"Manning, Ben (Primary)
Spoletini, Paola",Online,"9 of 25 seats remain.
75 of 75 waitlist seats remain.",Lecture*,No-cost req'd textbooks
DB Sys Concepts& Design,Computer Science,6400,OCY,3,86060,Fall 2026,"Mark, Leo (Primary)",Online,"21 of 25 seats remain.
75 of 75 waitlist seats remain.",Lecture*,
Cyber Sec Practicum,Computer Science,6727,OCY,5,87104,Fall 2026,"Ahamad, Mustaque (Primary)",Online,"72 of 75 seats remain.
LINKED",Lecture*,
ADV Malware Analysis,Computer Science,6747,OCY,3,87103,Fall 2026,"Saltaformaggio, Brendan (Primary)",Online,"33 of 50 seats remain.
50 of 50 waitlist seats remain.",Lecture*,
Human-Computer Interact,Computer Science,6750,OCY,3,86073,Fall 2026,"Joyner, David (Primary)",Online,"39 of 50 seats remain.
50 of 50 waitlist seats remain.",Lecture*,
Human Dimension of Cybersec,Computer Science,8803,OCY,3,95098,Fall 2026,"Shandler, Jonathan (Primary)",Online,"100 of 100 seats remain.
75 of 75 waitlist seats remain.",Lecture*,
Data Structures & Algorithms,Computer Science,8001,ODA,1,95374,Fall 2026,"Hudachek-Buswell, Mary (Primary)",Online,"135 of 150 seats remain.
999 of 999 waitlist seats remain.",Seminar*,No-cost req'd textbooks
CS Educators,Computer Science,8001,OED,1,95371,Fall 2026,"Rusch, Ana (Primary)",Online,"998 of 999 seats remain.
999 of 999 waitlist seats remain.",Seminar*,No-cost req'd textbooks
Global Entrepreneurship-Launch,Computer Science,8001,OGE,1,95369,Fall 2026,"McGreggor, Brian (Primary)",Online,"149 of 150 seats remain.
999 of 999 waitlist seats remain.",Seminar*,No-cost req'd textbooks
Deep Reinforcement Learning and Humanoid Robotics,Computer Science,8001,OHR,1,95377,Fall 2026,"Ha, Sehoon (Primary)",Online,"991 of 999 seats remain.
999 of 999 waitlist seats remain.",Seminar*,No-cost req'd textbooks
Living with Artificial Intelligence,Computer Science,8001,OLA,1,95380,Fall 2026,"Rusch, Ana (Primary)",Online,"998 of 999 seats remain.
999 of 999 waitlist seats remain.",Seminar*,No-cost req'd textbooks
The Language of Proofs,Computer Science,8001,OLP,1,95375,Fall 2026,"Brito, Gerandy (Primary)",Online,"159 of 175 seats remain.
999 of 999 waitlist seats remain.",Seminar*,No-cost req'd textbooks
"NeuroAI: Intelligence, Brains, and Machines",Computer Science,8001,ONA,1,95379,Fall 2026,"Rusch, Ana (Primary)",Online,"979 of 999 seats remain.
999 of 999 waitlist seats remain.",Seminar*,No-cost req'd textbooks
Introduction to Online Learning Success,Computer Science,8001,OOL,1,95372,Fall 2026,"Rusch, Ana (Primary)",Online,"24 of 25 seats remain.
999 of 999 waitlist seats remain.",Seminar*,No-cost req'd textbooks
Object-Oriented Programming in Java,Computer Science,8001,OOP,1,95376,Fall 2026,"Omojokun, Olufisayo (Primary)",Online,"74 of 75 seats remain.
999 of 999 waitlist seats remain.",Seminar*,No-cost req'd textbooks
Physical AI: Embodied Intelligence and Real-World Interaction,Computer Science,8001,OPA,1,95381,Fall 2026,"Manning, Ben (Primary)",Online,"976 of 999 seats remain.
999 of 999 waitlist seats remain.",Seminar*,No-cost req'd textbooks
PhD Applicants,Computer Science,8001,OPH,1,95378,Fall 2026,"Lytle, Nicholas (Primary)",Online,"988 of 999 seats remain.
999 of 999 waitlist seats remain.",Seminar*,No-cost req'd textbooks
"Language Models, Reasoning, and Agents",Computer Science,8001,ORA,1,95463,Fall 2026,"Rusch, Ana (Primary)",Online,"199 of 200 seats remain.
999 of 999 waitlist seats remain.",Seminar*,No-cost req'd textbooks
MGT & Leadership in CS,Computer Science,8803,ORO,3,93259,Fall 2026,"Shi, Breanna (Primary)",Online,16 of 40 seats remain.,Lecture*,
